,VoltageP1,VoltageP2,TimeIndex
535,3.5535,0.0,1772668217.2973897
536,4.99,0.0,1772668217.399553
537,2.8445,1.1145,1772668217.5027516
538,2.522,1.1045,1772668217.6043558
539,2.4585,1.085,1772668217.7063696
540,2.615,140.611,1772668217.8094642
541,0.0,1.095,1772668217.9115171
542,0.0,1.09,1772668218.0131547
543,0.0,1.1045,1772668218.1159053
544,0.0,1.1045,1772668218.218721
545,2.4195,1.085,1772668218.3208196
546,2.356,140.616,1772668218.4237096
547,2.8394999999999997,140.601,1772668218.524373
548,143.265,140.137,1772668218.628299
549,2.307,1.08,1772668218.7308638
550,2.2925,1.0995000000000001,1772668218.8330543
551,2.4485,1.09,1772668218.933789
552,2.5269999999999997,1.08,1772668219.0346274
553,2.5955,1.09,1772668219.136234
554,3.089,1.095,1772668219.2394817
555,0.0,0.0,1772668219.3404603
556,0.0,1.085,1772668219.44377
557,0.0,1.085,1772668219.5450053
558,0.0,1.0755000000000001,1772668219.647572
559,0.0,1.08,1772668219.749124
560,143.265,1.09,1772668219.853328
561,143.265,1.085,1772668219.9562976
562,0.0,1.08,1772668220.0580626
563,0.0,1.0705,1772668220.1598945
564,0.0,140.1415,1772668220.2628503
565,57.556000000000004,1.08,1772668220.3649876
566,0.0,1.09,1772668220.4667015
567,0.0,1.1145,1772668220.5697663
568,141.256,1.0705,1772668220.6736803
569,0.0,140.5965,1772668220.7743015
570,0.0,140.601,1772668220.8765428
571,0.0,1.085,1772668220.9781227
572,0.0,0.0,1772668221.0825012
573,0.0,1.085,1772668221.1844144
574,0.0,1.0755000000000001,1772668221.2862103
575,0.0,1.08,1772668221.3890555
576,0.0,1.09,1772668221.490172
577,0.0,0.0,1772668221.5944586
578,0.0,1.0755000000000001,1772668221.6953368
579,0.0,1.09,1772668221.797437
580,0.0,1.0995000000000001,1772668221.9006715
581,61.178,1.085,1772668222.0031273
582,0.0,1.09,1772668222.1056504
583,0.0,1.051,1772668222.2079186
584,0.0,1.0605,1772668222.3103342
585,0.0,1.036,1772668222.4136
586,0.0,1.0165,1772668222.5151155
587,0.0,0.992,1772668222.6175795
588,0.0,0.9385,1772668222.719791
589,3.563,0.9039999999999999,1772668222.8227904
590,3.5435,0.6695,1772668222.924823
591,4.663,0.337,1772668223.0274053
592,5.0,0.132,1772668223.1296923
